," This is a citation overview for a set of 4855 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 128 (Of the 4855 documents considered for the h-index, 128 have been cited at least 128 times.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2005,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2110,852,1012,1325,1574,1882,2269,2831,3504,4203,5138,6160,6901,8475,10719,12070,15622,84537,9696,96343
2021,"Promoting traditional foods for human and environmental health: lessons from agroecology and Indigenous communities in Ecuador","Deaconu A., Sherwood S., Paredes M., Berti P., Lopez P., Cole D., Munoz F., Oyarzun P., Borja R., Aizaga M., Estrella E., April-Lalonde G., Mercille G., Batal M.",20550928,"BMC Nutrition",7, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala","Lopez-Ridaura S., Barba-Escoto L., Reyna-Ramirez C.A., Sum C., Palacios-Rojas N., Gerard B.",20452322,"Scientific Reports",11, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Crop nutrient management using Nutrient Expert improves yield, increases farmers’ income and reduces greenhouse gas emissions","Sapkota T.B., Jat M.L., Rana D.S., Khatri-Chhetri A., Jat H.S., Bijarniya D., Sutaliya J.M., Kumar M., Singh L.K., Jat R.K., Kalvaniya K., Prasad G., Sidhu H.S., Rai M., Satyanarayana T., Majumdar K.",20452322,"Scientific Reports",11, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2021,"New cassava germplasm for food and nutritional security in Central Africa","Tize I., Fotso A.K., Nukenine E.N., Masso C., Ngome F.A., Suh C., Lendzemo V.W., Nchoutnji I., Manga G., Parkes E., Kulakow P., Kouebou C., Fiaboe K.K.M., Hanna R.",20452322,"Scientific Reports",11, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Dynamic meta-analysis: a method of using global evidence for local decision making","Shackelford G.E., Martin P.A., Hood A.S.C., Christie A.P., Kulinskaya E., Sutherland W.J.",17417007,"BMC Biology",19, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Mitogenomic analysis of diversity of key whitefly pests in Kenya and its implication to their sustainable management","Khamis F.M., Ombura F.L.O., Ajene I.J., Akutse K.S., Subramanian S., Mohamed S.A., Dubois T., Tanga C.M., Ekesi S.",20452322,"Scientific Reports",11, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Genetic diversity and population structure of early and extra-early maturing maize germplasm adapted to sub-Saharan Africa","Badu-Apraku B., Garcia-Oliveira A.L., Petroli C.D., Hearne S., Adewale S.A., Gedil M.",14712229,"BMC Plant Biology",21, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Indigenous village chicken production: a tool for poverty alleviation, the empowerment of women, and rural development","Desta T.T.",00494747,"Tropical Animal Health and Production",53, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
